"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000696","ACH-000704","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001630","ACH-002140","ACH-002149","ACH-002181"
"BKM120 (GDSC2:1873)_IC50","num","Drug Screen","GDSC2_IC50",1.9172852,0.6489137,NA,NA,NA,0.3444982,NA,NA,1.6154858,NA,NA,-0.115815,1.977416,1.7882044,1.1998441,NA,2.8751755,NA,2.2687585,NA,2.2394387,1.9748051,1.3861948,NA,1.09992,0.4693414,1.0367581
"BVD-523 (GDSC2:1908)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.007557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.951127,NA,NA
"ABT737 (GDSC2:1910)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,0.37925,1.576493,NA,NA,NA,1.789186,NA,NA,NA,NA,NA,3.275973,1.400903,NA,NA,NA,NA,1.931156,NA,2.313893,NA,NA,NA,NA
"AC-DE (GDSC2:1911)_IC50","num","Drug Screen","GDSC2_IC50",-7.120119,-8.063372,NA,-7.558254,NA,-7.203719,NA,NA,-6.661039,NA,-6.107881,-8.887768,-6.483447,-7.042069,-3.311137,-5.93094,-2.401399,-7.406613,-5.87859,NA,-8.409397,NA,-7.894042,NA,-7.91902,-7.621178,-4.560743
"AFURESERTIB (GDSC2:1912)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.819779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPIVASERTIB (GDSC2:1916)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.199325,NA,NA,NA,NA,3.272476,NA,NA,NA,NA
"CERALASERTIB (GDSC2:1917)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,2.0345006,NA,NA,NA,NA,NA,3.2909706,NA,2.6388923,NA,NA,NA,NA,NA,NA,0.6568365,2.0813814,NA,NA,1.8737146,2.088535,NA
"AZD 2171 (GDSC2:1922)_IC50","num","Drug Screen","GDSC2_IC50",3.022385,2.837607,NA,NA,NA,NA,NA,NA,2.148202,NA,NA,1.393761,3.005834,3.23486,NA,2.463433,NA,3.163115,NA,NA,2.724204,NA,2.275355,NA,2.977798,2.443421,2.269457
"GNE 317 (GDSC2:1926)_IC50","num","Drug Screen","GDSC2_IC50",2.3753731,NA,2.0825725,NA,NA,-0.3596925,NA,NA,NA,NA,NA,-1.9399731,1.3190108,NA,NA,NA,NA,2.0392897,NA,NA,NA,NA,-0.6161803,NA,0.7623294,-1.5175555,0.3138082
"MST 312 (GDSC2:1930)_IC50","num","Drug Screen","GDSC2_IC50",0.3733915,0.1695396,0.6845587,1.0379119,2.0009007,-1.1256602,NA,NA,NA,0.5217943,NA,-1.5254765,1.7674986,-1.3512826,NA,NA,NA,-0.6613306,NA,NA,-0.6304197,NA,0.283909,NA,-0.3796018,-1.5297034,NA
"NVP ADW742 (GDSC2:1932)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,3.050934,NA,2.341411,NA,NA,3.140819,NA,NA,3.113136,NA,NA,NA,3.303462,NA,NA,NA,NA,NA,NA,2.61939,NA,NA,3.319121,NA
"UMI 77 (GDSC2:1939)_IC50","num","Drug Screen","GDSC2_IC50",2.514635,2.150951,NA,2.924469,NA,NA,3.207436,NA,3.229918,3.269028,NA,2.716236,NA,NA,NA,NA,NA,NA,NA,NA,2.313987,NA,NA,NA,NA,3.108099,NA
"SEPANTRONIUM BROMIDE (GDSC2:1941)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,-3.882994,-4.712786,-5.994239,-5.581493,-1.372298,-5.158512,-5.388549,NA,NA,-6.071774,-3.018209,-6.014659,-1.826509,-5.020401,-6.158899,NA,-3.507274,NA,NA,-5.580497,-4.493544,-4.527586,-5.000714,-6.454224,-1.060905
"WEHI-539 (GDSC2:1997)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,1.717199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXEL-2880 (GDSC2:2040)_IC50","num","Drug Screen","GDSC2_IC50",3.32084537,2.61833634,NA,2.08194094,2.31642187,3.28021995,NA,NA,2.45382819,2.8970776,NA,-0.35045882,2.00252471,NA,NA,2.48862471,3.07213497,1.54324389,2.16546433,NA,1.60810192,2.35412262,0.32617712,NA,2.80841196,0.02965206,1.85660409
"PYRIDOSTATIN (GDSC2:2044)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.418697,NA,NA,NA,NA,NA,NA,NA,NA,1.547801,NA,NA,NA,NA,NA,NA
"EXELBINE (GDSC2:2048)_IC50","num","Drug Screen","GDSC2_IC50",NA,-6.678656,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.494715,NA,-5.672191,NA,NA,NA,NA,-6.224231,NA,-5.678468,NA,-4.951868,NA,NA,-5.831682,NA
"VX-11E (GDSC2:2096)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.225581,NA,NA,NA,NA,NA,NA
"GSK-2141795 (GDSC2:2106)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2697227,NA,NA,NA,NA,NA,0.7578359,NA,NA,NA,NA,2.2851344,NA,NA,3.077369,NA
"AZ6102 (GDSC2:2109)_IC50","num","Drug Screen","GDSC2_IC50",NA,3.287404,2.199404,NA,NA,2.778201,NA,NA,3.220881,NA,NA,1.720812,3.196806,3.064223,NA,NA,NA,3.094871,1.988864,NA,NA,NA,2.0614,NA,2.987168,2.60838,NA
"AT13148 (GDSC2:2170)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096055,NA,NA,NA,NA,3.260541,NA
