Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000443,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001042,ACH-001048,ACH-001063
EPHA5_CopyNum,cat,Molecular,Copy Number,4,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,3,2,3,2,2,2,2,2,2,2,2,1,3
PDILT_CopyNum,cat,Molecular,Copy Number,2,1,2,3,2,1,2,4,2,2,3,2,2,2,2,3,3,2,3,3,4,4,2,4,2,2,2,4,1,2,1,2,2,3,2,2,2,3
EPHA7_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,4,1,2,3,2,1,1,3,3,2,2,3,3,3,3,2,3,2,2,1,4,1,2,2,2,2,3,2,2,2,3
EPHA8_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,5,2,2,4,3,3,2,3,4,3,2,2,2,2,4,2,3,2,2,1,3,1,3,2,2,2,3,2,2,2,2
EPHB1_CopyNum,cat,Molecular,Copy Number,7,1,2,3,2,2,3,5,2,2,3,4,3,2,3,3,4,3,4,3,4,5,2,3,2,3,2,5,2,2,2,2,2,4,2,2,2,3
EPHB2_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,5,2,2,4,3,3,2,3,4,3,2,2,2,2,4,2,3,2,2,1,3,1,3,2,2,2,3,2,2,2,2
NLRP11_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,2,3,3,2,3,3,2,2,2,4,3,5,2,3,3,6,5,2,3,1,2,3,4,2,3,2,2,2,3,2,3,2,3
HIPK1_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,5,2,2,4,4,3,2,3,3,3,2,3,3,2,4,2,3,2,4,2,4,2,2,2,2,2,4,2,2,2,4
EPHB3_CopyNum,cat,Molecular,Copy Number,5,1,2,5,2,3,3,5,2,2,3,4,3,4,3,3,4,3,5,3,3,5,2,3,2,2,2,6,3,2,2,2,2,4,2,2,3,2
SLC44A5_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,3,3,6,2,2,4,5,3,2,3,4,3,2,3,3,4,4,2,3,2,3,2,4,3,3,2,1,2,4,2,2,2,5
AK4_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,6,2,2,4,4,3,2,3,4,3,2,2,3,4,4,2,3,2,3,2,4,3,3,2,2,2,4,2,2,2,5
EPHB4_CopyNum,cat,Molecular,Copy Number,3,1,1,2,2,1,2,6,2,3,3,4,4,2,4,4,2,1,3,5,6,3,2,3,2,2,1,4,2,1,2,1,2,3,2,3,2,3
EPHB6_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,2,6,3,3,2,4,4,2,4,4,2,1,3,4,5,3,2,3,2,3,1,4,2,2,2,1,2,4,2,3,2,4
AMER3_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,4,2,2,4,3,3,2,3,3,3,2,2,3,2,6,2,4,2,3,2,3,2,2,2,2,2,3,2,2,1,3
EPHX1_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,2,5,2,2,4,4,3,2,4,4,3,2,3,3,2,6,3,3,2,3,2,5,2,2,2,2,2,3,3,4,2,6
MTLN_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,4,2,2,4,3,3,2,3,3,5,2,3,3,3,6,2,4,2,4,2,4,2,3,2,2,2,3,2,2,2,3
EPHX2_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,1,2,1,2,2,2,2,3,1,2
C2orf69_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,5,2,2,2,2,3,3,3,3,3,2,1,3,3,4,2,4,2,2,2,3,2,2,2,2,2,3,2,2,2,3
STX2_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,2,4,1,2,3,3,2,1,3,2,3,2,2,2,2,5,2,4,2,3,2,3,2,3,1,2,2,2,2,2,1,3
DIPK2A_CopyNum,cat,Molecular,Copy Number,7,1,2,3,2,2,3,5,2,2,3,4,3,2,3,3,4,3,4,3,5,5,2,3,2,2,2,5,3,2,2,2,2,4,2,2,2,3
CLN8_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,1,3,3,1,1,4,2,3,1,2,1,2,2,2,2,2,3,2,4,1,3,1,4,2,2,1,2,2,2,2,3,1,2
SENP5_CopyNum,cat,Molecular,Copy Number,5,1,2,4,2,3,3,5,2,2,3,4,3,4,3,3,4,3,5,3,2,5,2,3,2,2,2,6,3,2,2,2,2,4,2,2,3,2
EPO_CopyNum,cat,Molecular,Copy Number,3,1,1,2,2,1,2,6,2,3,3,4,4,2,4,4,2,1,3,5,6,3,2,3,2,2,1,4,2,1,2,1,2,3,2,3,2,3
EPOR_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,2,2,5,2,1,2,5,2,2,2,2,6,2,2,2,4,3,2,3,2,2,1,4,2,2,2,2,2,3,2,3,1,3
USF3_CopyNum,cat,Molecular,Copy Number,6,1,2,2,2,2,3,4,2,2,3,2,3,2,3,3,4,2,4,3,4,5,2,3,2,3,2,5,3,2,2,2,2,4,2,2,2,3
EPRS1_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,2,5,2,2,4,4,3,2,4,4,3,2,3,3,2,4,3,3,2,2,2,5,1,2,2,2,2,3,3,4,2,4
TRIML2_CopyNum,cat,Molecular,Copy Number,4,1,2,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,3,1,2,3,2,3,1,1,1,2,1,3,2,2,2,2,2,2,1,2
EPS8_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,3,4,3,2,2,4,2,2,1,3,2,3,3,5,3,3,5,2,4,1,2,2,2,1,2,2,1,2,4,2,2,2,3
EPS15_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,5,2,2,4,4,3,2,3,4,3,2,2,3,3,4,2,3,2,3,2,3,2,2,3,2,2,4,2,2,1,3
NR2F6_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,2,2,4,2,1,2,5,2,2,2,2,3,2,2,2,4,4,2,3,2,2,1,4,2,2,2,2,2,3,2,3,1,3
LVRN_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,1,2,4,1,2,3,4,3,2,4,2,3,2,3,3,4,4,2,3,2,3,2,5,2,2,2,2,2,3,2,2,2,3
SLC36A1_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,4,2,2,3,4,3,2,4,4,3,2,3,3,5,4,2,3,2,4,2,5,2,2,2,2,2,3,2,2,2,3
ERBB2_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,2,3,3,1,2,4,2,2,1,4,2,4,2,5,2,2,5,2,4,2,2,2,5,1,5,2,6,2,3,2,2,2,3
C6orf163_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,4,1,2,3,2,1,1,3,3,2,2,3,3,3,3,2,3,2,4,1,3,2,2,2,2,2,3,2,2,2,3
PIP5K1P1_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,4,2,2,3,3,2,1,2,4,2,2,3,3,5,3,2,3,2,4,2,5,3,2,2,2,2,4,2,2,2,3
ERBB3_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,3,2,2,3,3,2,2,3,2,3,2,3,3,3,5,2,4,2,3,2,6,2,3,2,2,2,3,2,2,2,3
ERBB4_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,5,2,2,2,2,3,3,3,3,3,2,2,3,3,4,2,2,2,1,2,3,2,2,2,2,2,3,2,2,2,3
ERCC1_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,6,1,3,3,2,2,2,4,4,4,2,7,3,4,5,2,3,2,2,3,4,1,3,2,2,2,3,2,3,1,3
ERCC2_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,6,1,3,3,2,2,2,4,4,4,2,7,3,4,5,2,3,2,2,3,4,1,3,2,2,2,3,2,3,1,3
EREG_CopyNum,cat,Molecular,Copy Number,4,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,3,2,3,1,2,2,2,2,2,2,2,1,3
AKT1_CopyNum,cat,Molecular,Copy Number,4,2,2,3,2,2,4,5,2,2,3,4,2,2,4,2,3,2,4,1,3,3,2,4,2,2,2,4,2,3,2,2,2,3,2,2,1,3
EYA4_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,1,3,4,1,2,3,2,1,1,3,3,2,2,3,3,2,3,1,3,2,2,1,4,1,2,2,2,2,3,2,2,2,5
ERCC3_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,4,2,2,4,3,3,2,3,3,3,2,2,3,2,6,2,4,2,3,2,3,2,2,2,2,2,3,2,2,1,3
SFTA1P_CopyNum,cat,Molecular,Copy Number,2,2,2,3,2,1,3,4,2,2,2,4,2,4,3,3,2,2,2,3,2,4,2,4,2,4,1,3,2,2,2,2,3,4,3,2,1,3
ERCC4_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,2,4,2,2,3,2,2,2,2,3,3,2,3,3,4,4,2,4,2,3,2,4,1,2,1,2,2,3,2,2,2,3
ERCC5_CopyNum,cat,Molecular,Copy Number,2,1,2,3,2,2,3,3,1,3,3,5,2,1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,1,3,2,2,2,2,2,2,2,2
ERCC6_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,2,2,2,4,2,2,2,2,3,2,3,2,4,4,2,4,2,3,1,4,2,2,3,2,3,3,3,2,1,3
ERF_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,2,1,3,3,2,2,2,4,4,4,2,6,3,4,5,2,3,2,2,3,4,2,3,2,2,2,3,2,3,1,3
ERG_CopyNum,cat,Molecular,Copy Number,5,1,2,2,2,1,2,4,1,2,2,2,2,2,3,3,4,2,2,3,4,4,2,3,2,2,1,3,2,2,2,2,2,3,2,2,1,5
ERH_CopyNum,cat,Molecular,Copy Number,4,2,2,2,2,2,4,5,2,2,3,3,2,1,4,2,3,2,3,2,3,5,2,4,2,3,2,4,2,2,2,2,2,3,2,2,1,3
AKT2_CopyNum,cat,Molecular,Copy Number,7,1,2,2,2,1,3,7,2,3,3,2,2,2,4,4,4,2,6,3,4,5,2,3,2,2,3,4,2,4,2,2,2,3,2,3,1,3
ERN1_CopyNum,cat,Molecular,Copy Number,5,1,2,2,2,2,3,3,2,2,4,2,2,4,4,2,6,2,3,2,2,5,2,5,2,3,2,6,2,3,2,2,2,5,2,2,3,4
ERV3-1_CopyNum,cat,Molecular,Copy Number,3,1,2,1,2,2,2,5,2,1,3,4,4,2,4,4,2,2,2,5,4,5,2,3,2,2,1,4,2,2,2,1,2,3,2,3,1,3
FBL_CopyNum,cat,Molecular,Copy Number,7,1,2,2,2,1,3,7,2,3,3,2,2,2,4,4,7,2,6,3,4,5,2,3,2,2,3,4,2,4,2,2,2,3,2,3,1,3
ESD_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,2,2,3,1,2,2,1,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,3,1,3,2,2,2,2,2,2,2,3
ESR1_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,3,3,1,2,3,2,1,1,3,3,2,2,4,3,2,3,1,3,2,2,1,4,1,2,2,2,2,3,2,2,3,5
ABCA3_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,2,4,2,2,3,2,2,2,2,3,3,2,3,3,2,4,2,4,2,3,2,3,1,2,1,2,2,3,2,2,2,3
ALAD_CopyNum,cat,Molecular,Copy Number,3,1,2,4,2,2,2,3,2,2,2,2,2,4,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,3,2,2,2,4
ESR2_CopyNum,cat,Molecular,Copy Number,4,2,2,2,2,2,4,5,1,2,3,2,2,1,4,2,4,2,3,2,3,5,2,4,2,3,2,4,2,2,2,2,2,3,2,2,1,3
ESRRA_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,2,2,4,3,2,3,3,3,2,3,3,3,2,4,3,3,3,2,4,2,3,2,3,2,2,2,2,2,5,2,2,2,3
ESRRB_CopyNum,cat,Molecular,Copy Number,4,2,2,3,2,2,4,5,2,2,2,2,2,2,4,2,3,2,3,2,3,2,2,4,2,2,2,4,2,3,2,2,2,3,2,2,1,3
ESRRG_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,2,5,2,2,4,4,3,2,4,4,3,2,3,3,2,4,3,3,2,3,2,5,1,2,2,2,2,3,3,4,2,4
ETF1_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,2,4,2,2,3,4,3,2,4,4,3,2,3,3,4,4,2,3,2,3,2,5,2,2,2,3,2,3,2,2,2,3
